======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet50
Checkpoint: ./model/resnet50-unet-aug/loss3_bce_ftv_lap/resnet50_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.2394 ± 0.2007
DICE: 0.3475 ± 0.2428
ACCURACY: 0.5888 ± 0.2581
PRECISION: 0.2671 ± 0.2344
RECALL: 0.8685 ± 0.1880
F1: 0.3475 ± 0.2428


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
00228_style3      0.1661   0.2849   0.4148   0.1661   1.0000   0.2849
00228_style4      0.3326   0.4992   0.7696   0.3343   0.9851   0.4992
00228_style5      0.3644   0.5341   0.8070   0.3716   0.9491   0.5341
00228_style6      0.3444   0.5124   0.7837   0.3476   0.9745   0.5124
00228_style7      0.3682   0.5382   0.8134   0.3783   0.9326   0.5382
00233             0.4119   0.5835   0.9069   0.7845   0.4644   0.5835
00233_style0      0.2989   0.4602   0.6707   0.2989   1.0000   0.4602
00233_style1      0.1464   0.2554   0.1814   0.1464   1.0000   0.2554
00233_style2      0.1782   0.3025   0.3527   0.1782   1.0000   0.3025
00233_style3      0.1798   0.3048   0.3597   0.1798   1.0000   0.3048
00233_style4      0.3472   0.5154   0.7464   0.3522   0.9605   0.5154
00233_style5      0.6341   0.7761   0.9246   0.6653   0.9312   0.7761
00233_style6      0.4736   0.6428   0.8629   0.5069   0.8784   0.6428
00233_style7      0.4559   0.6263   0.8491   0.4801   0.9004   0.6263
00238             0.1195   0.2135   0.7857   0.1389   0.4611   0.2135
00238_style0      0.0913   0.1673   0.6022   0.0964   0.6337   0.1673
00238_style1      0.0649   0.1219   0.0976   0.0649   0.9934   0.1219
00238_style2      0.0693   0.1296   0.1586   0.0693   0.9937   0.1296
00238_style3      0.0682   0.1276   0.1556   0.0683   0.9795   0.1276
00238_style4      0.1123   0.2019   0.7175   0.1228   0.5667   0.2019
00238_style5      0.1013   0.1839   0.7034   0.1113   0.5300   0.1839
00238_style6      0.1057   0.1912   0.6509   0.1119   0.6542   0.1912
00238_style7      0.1247   0.2217   0.8085   0.1490   0.4327   0.2217
00250             0.0242   0.0473   0.8931   0.0247   0.5257   0.0473
00250_style0      0.0098   0.0195   0.4922   0.0098   1.0000   0.0195
00250_style1      0.0053   0.0105   0.0495   0.0053   1.0000   0.0105
00250_style2      0.0076   0.0150   0.3373   0.0076   1.0000   0.0150
00250_style3      0.0068   0.0135   0.2617   0.0068   1.0000   0.0135
00250_style4      0.0150   0.0296   0.6692   0.0150   1.0000   0.0296
00250_style5      0.0152   0.0299   0.6730   0.0152   1.0000   0.0299
00250_style6      0.0110   0.0218   0.5469   0.0110   1.0000   0.0218
00250_style7      0.0170   0.0334   0.7543   0.0170   0.8419   0.0334
00270             0.0847   0.1561   0.8755   0.0881   0.6873   0.1561
00270_style0      0.0218   0.0427   0.2910   0.0219   0.9441   0.0427
00270_style1      0.0176   0.0346   0.0759   0.0176   0.9869   0.0346
00270_style2      0.0199   0.0391   0.1913   0.0199   0.9810   0.0391
00270_style3      0.0202   0.0396   0.1941   0.0202   0.9905   0.0396
00270_style4      0.0469   0.0895   0.6632   0.0469   0.9881   0.0895
00270_style5      0.0517   0.0984   0.7113   0.0519   0.9394   0.0984
00270_style6      0.0346   0.0670   0.5585   0.0347   0.9453   0.0670
00270_style7      0.0594   0.1121   0.7720   0.0600   0.8585   0.1121
00281             0.4946   0.6619   0.7486   0.6430   0.6819   0.6619
00281_style0      0.5234   0.6872   0.6976   0.5482   0.9205   0.6872
00281_style1      0.3727   0.5430   0.3963   0.3735   0.9939   0.5430
00281_style2      0.3976   0.5690   0.4761   0.4046   0.9584   0.5690
00281_style3      0.3925   0.5637   0.4566   0.3968   0.9730   0.5637
00281_style4      0.5099   0.6754   0.7019   0.5561   0.8599   0.6754
00281_style5      0.4696   0.6391   0.7037   0.5701   0.7271   0.6391
00281_style6      0.4894   0.6572   0.6761   0.5315   0.8607   0.6572
00281_style7      0.4586   0.6288   0.7034   0.5732   0.6965   0.6288
00284             0.1037   0.1879   0.9523   0.1052   0.8794   0.1879
00284_style0      0.0110   0.0218   0.4369   0.0110   1.0000   0.0218
00284_style1      0.0066   0.0132   0.0604   0.0066   1.0000   0.0132
00284_style2      0.0074   0.0146   0.1526   0.0074   1.0000   0.0146
00284_style3      0.0076   0.0150   0.1771   0.0076   1.0000   0.0150
00284_style4      0.0189   0.0371   0.6981   0.0189   0.9270   0.0371
00284_style5      0.0290   0.0563   0.7917   0.0290   0.9905   0.0563
00284_style6      0.0252   0.0491   0.7570   0.0252   1.0000   0.0491
00284_style7      0.0221   0.0432   0.7830   0.0222   0.7810   0.0432
00296             0.6207   0.7660   0.9673   0.6970   0.8500   0.7660
00296_style0      0.1117   0.2009   0.5098   0.1120   0.9785   0.2009
00296_style1      0.0653   0.1227   0.0993   0.0653   0.9994   0.1227
00296_style2      0.0855   0.1575   0.3258   0.0855   1.0000   0.1575
00296_style3      0.0946   0.1728   0.3970   0.0946   1.0000   0.1728
00296_style4      0.1953   0.3268   0.7407   0.1953   0.9987   0.3268
00296_style5      0.3365   0.5035   0.8922   0.3547   0.8678   0.5035
00296_style6      0.1214   0.2165   0.5457   0.1214   0.9962   0.2165
00296_style7      0.1590   0.2743   0.6987   0.1617   0.9041   0.2743
00300             0.2012   0.3350   0.6369   0.2297   0.6187   0.3350
00300_style0      0.1551   0.2686   0.5491   0.1766   0.5599   0.2686
00300_style1      0.1426   0.2496   0.1777   0.1443   0.9253   0.2496
00300_style2      0.1453   0.2537   0.2343   0.1482   0.8804   0.2537
00300_style3      0.1500   0.2609   0.3110   0.1550   0.8224   0.2609
00300_style4      0.2749   0.4312   0.6771   0.2915   0.8280   0.4312
00300_style5      0.3117   0.4753   0.7821   0.3690   0.6677   0.4753
00300_style6      0.3237   0.4891   0.7675   0.3622   0.7529   0.4891
00300_style7      0.2756   0.4322   0.7202   0.3087   0.7202   0.4322
00344             0.0060   0.0118   0.5673   0.0060   0.4276   0.0118
00344_style0      0.0096   0.0190   0.3756   0.0096   1.0000   0.0190
00344_style1      0.0063   0.0126   0.0513   0.0063   1.0000   0.0126
00344_style2      0.0068   0.0136   0.1197   0.0068   1.0000   0.0136
00344_style3      0.0067   0.0133   0.0992   0.0067   1.0000   0.0133
00344_style4      0.0096   0.0189   0.3723   0.0096   1.0000   0.0189
00344_style5      0.0094   0.0186   0.4166   0.0094   0.9112   0.0186
00344_style6      0.0100   0.0197   0.4119   0.0100   0.9770   0.0197
00344_style7      0.0201   0.0393   0.7654   0.0202   0.7928   0.0393
00348             0.0480   0.0915   0.7448   0.2231   0.0576   0.0915
00348_style0      0.0878   0.1614   0.6959   0.2100   0.1311   0.1614
00348_style1      0.2575   0.4095   0.3561   0.2575   1.0000   0.4095
00348_style2      0.3110   0.4744   0.5265   0.3154   0.9570   0.4744
00348_style3      0.3049   0.4673   0.5090   0.3083   0.9645   0.4673
00348_style4      0.2305   0.3747   0.7284   0.3856   0.3645   0.3747
00348_style5      0.0523   0.0995   0.7405   0.2210   0.0642   0.0995
00348_style6      0.2247   0.3669   0.7349   0.3930   0.3441   0.3669
00348_style7      0.2181   0.3582   0.7365   0.3926   0.3293   0.3582
00352             0.0105   0.0208   0.6413   0.0106   0.4693   0.0208
